C_LAST_NAME,C_FIRST_NAME,CA_CITY,BOUGHT_CITY,SS_TICKET_NUMBER,AMT,PROFIT
Aaron,Adam,Crossroads,Kingston,911848673,93.81,-4624.69
Aaron,Adam,White Oak,Glenwood,274050168,0.00,-1156.92
Aaron,Alta,Five Forks,Greenville,1864034141,2218.20,-18927.33
Aaron,Amelia,White Oak,Hillcrest,692983228,520.78,-17753.79
Aaron,Angel,Mount Olive,Oakwood,176361805,423.20,-1990.92
Aaron,Angela,Enterprise,Wilson,1944828380,0.00,-6260.13
Aaron,Angie,Greenwood,Lebanon,975658062,6182.67,-10814.02
Aaron,Anna,Maple Grove,Buena Vista,157115053,197.79,-13949.36
Aaron,Anthony,Greenfield,Sunnyside,261699933,45.14,-8545.03
Aaron,Arthur,Centerville,Highland Park,1658955957,115.61,-2690.28
Aaron,Arthur,Lakewood,Shady Grove,558854569,13744.54,-12201.19
Aaron,Ashley,Woodlawn,Bethel,842282555,3903.77,-15122.62
Aaron,Audrey,Oakland,Newport,1542667250,2178.05,-11258.32
Aaron,August,Pleasant Hill,Greenwood,1809754041,480.25,-7678.85
Aaron,Barbara,Glendale,Georgetown,1478303177,2203.58,-7851.52
Aaron,Barbara,Woodland,Westgate,831517798,3674.10,-10120.84
Aaron,Benjamin,King,Union Hill,1277117198,0.00,-6644.37
Aaron,Benjamin,Kingston,Woodville,86396078,2396.06,-16201.76
Aaron,Beulah,Shiloh,New Hope,1998591347,1233.01,-4840.56
Aaron,Bobby,Brownsville,Antioch,1512039073,4629.82,-2331.55
Aaron,Bonnie,Centerville,Oakwood,219957922,175.20,-13192.27
Aaron,Bonnie,Greenwood,Friendship,1145604909,0.00,-7779.73
Aaron,Brandon,Bunker Hill,Concord,1281526403,9802.84,-7663.82
Aaron,Bruce,Kingston,Wildwood,599184992,3075.42,-9300.43
Aaron,Carl,Guthrie,Georgetown,1491509171,5658.27,-5530.61
Aaron,Carl,Union Hill,Fairview,1316451911,1994.64,-7598.23
Aaron,Celia,Sunset Beach,Summit,178520867,1426.95,-9309.73
Aaron,Cherie,Oak Ridge,Farmington,1408763051,4064.30,-28003.37
Aaron,Cheryl,Oak Grove,Oak Ridge,921977245,2471.71,-19246.05
Aaron,Christina,Green Acres,Pleasant Hill,595142140,804.32,-5089.98
Aaron,Christopher,Bethesda,Ashland,1258507027,0.00,-4705.86
Aaron,Christopher,Riverview,Cedar Grove,299603422,1101.10,-6995.48
Aaron,Clara,Oakwood,Stringtown,1667835301,1870.66,-16368.15
Aaron,Clarence,Tremont,Union,1599612655,1344.67,-11476.67
Aaron,Clarita,Belmont,Lakeview,682457945,3175.35,-2849.01
Aaron,Colleen,Post Oak,Bridgeport,1715879916,0.00,-2133.60
Aaron,Crystal,Jamestown,Brownsville,1790704531,0.00,-8395.80
Aaron,Cynthia,Cedar Grove,Scottsville,1107147887,3117.10,-9537.21
Aaron,Dale,Forest Hills,Union,1816650753,629.79,810.72
Aaron,Danny,Oak Hill,Unionville,1142142014,30.94,-1432.38
Aaron,Darrel,Riverside,Mount Olive,2001562738,640.09,-17311.47
Aaron,David,Georgetown,Marion,1985212585,5616.24,-10922.64
Aaron,David,Lebanon,Five Forks,1771121773,4420.53,-9165.96
Aaron,David,Lincoln,Antioch,1942092847,328.83,-759.72
Aaron,David,Marion,Oakwood,2142650484,631.34,-3267.19
Aaron,Delores,Stringtown,Friendship,2093775359,65.87,-9035.43
Aaron,Diana,Bunker Hill,Gravel Hill,393437332,1974.02,4683.53
